season_year,player_name,team_name,nationality,apps,clean_sheets,goals_conceded,minutes_per_goal_conceded
,Manuel Neuer,Manuel Neuer Para 2 clubes,Alemania,155,63,150,92
,Iker Casillas,Iker Casillas Para 2 clubes,España,177,59,204,77
,Gianluigi Buffon,Gianluigi Buffon Para 3 clubes,Italia,124,53,118,95
,Edwin van der Sar,Edwin van der Sar Para 3 clubes,Países Bajos,98,51,85,103
,Petr Cech,Petr Cech Para 3 clubes,República Checa,111,49,115,86
,Víctor Valdés,FC Barcelona,España,106,45,89,107
,Jan Oblak,Jan Oblak Para 2 clubes,Eslovenia,98,36,114,77
,Dida,AC Milan,Brasil,72,35,59,109
,Oliver Kahn,Bayern Múnich,Alemania,103,34,105,88
,Ederson,Ederson Para 2 clubes,Brasil / Portugal,86,33,96,80
,Marc-André ter Stegen,FC Barcelona,Alemania,85,32,99,77
,Thibaut Courtois,Thibaut Courtois Para 3 clubes,Bélgica,92,32,110,75
,Vítor Baía,Vítor Baía Para 2 clubes,Portugal,70,31,70,90
,Santiago Cañizares,Santiago Cañizares Para 2 clubes,España,65,28,63,92
,Alisson,Alisson Para 2 clubes,Brasil,66,27,76,78
,Wojciech Szczesny,Wojciech Szczesny Para 4 clubes,Polonia,79,26,110,62
,Pepe Reina,Pepe Reina Para 5 clubes,España,76,25,89,76
,Fabien Barthez,Fabien Barthez Para 3 clubes,Francia,57,24,54,95
,Jens Lehmann,Jens Lehmann Para 3 clubes,Alemania,67,23,65,92
,Keylor Navas,Keylor Navas Para 2 clubes,Costa Rica / España,63,22,64,88
,Júlio César,Júlio César Para 2 clubes,Brasil,64,22,75,76
,Yann Sommer,Yann Sommer Para 4 clubes,Suiza,64,22,90,64
,Jerzy Dudek,Jerzy Dudek Para 3 clubes,Polonia,47,21,52,80
,Sebastiano Rossi,AC Milan,Italia,36,20,25,129
,Grégory Coupet,Grégory Coupet Para 2 clubes,Francia,61,20,65,83
