season_year,player_name,nationality,team_name,apps,assists,penalties,goals
,Cristiano Ronaldo,Portugal,Para 3 clubes,183,50,19,140
,Lionel Messi,Argentina / España,Para 2 clubes,163,45,18,129
,Robert Lewandowski,Polonia,Para 3 clubes,137,26,19,105
,Karim Benzema,Francia / Argelia,Para 2 clubes,152,30,3,90
,Raúl,España,Para 2 clubes,142,32,1,71
,Kylian Mbappé,Francia / Camerún,Para 3 clubes,92,27,9,64
,Thomas Müller,Alemania,Bayern Múnich,163,34,8,57
,Ruud van Nistelrooy,Países Bajos,Para 3 clubes,73,18,10,56
,Erling Haaland,Noruega,Para 3 clubes,53,5,8,54
,Thierry Henry,Francia / Guadalupe,Para 3 clubes,112,24,3,50
,Alfredo di Stéfano,España / Argentina,Real Madrid CF,58,9,3,49
,Zlatan Ibrahimović,Suecia / Bosnia y Herzegovina,Para 7 clubes,124,29,5,48
,Mohamed Salah,Egipto,Para 4 clubes,93,20,6,48
,Andriy Shevchenko,Ucrania,Para 3 clubes,100,16,5,48
,Eusébio,Portugal / Mozambique,SL Benfica,64,10,3,46
,Filippo Inzaghi,Italia,Para 2 clubes,81,7,1,46
,Harry Kane,Inglaterra / Irlanda,Para 2 clubes,62,11,12,45
,Didier Drogba,Costa de Marfil / Francia,Para 3 clubes,92,15,2,44
,Neymar,Brasil,Para 2 clubes,81,37,3,43
,Antoine Griezmann,Francia,Para 3 clubes,110,14,4,43
,Alessandro Del Piero,Italia,Juventus de Turín,89,23,6,42
,Sergio Agüero,Argentina / España,Para 3 clubes,79,8,11,41
,Ferenc Puskás,Hungría / España,Para 2 clubes,41,5,3,36
,Edinson Cavani,Uruguay / Italia,Para 3 clubes,70,6,4,35
,Gerd Müller,Alemania,Bayern Múnich,35,4,1,34
